step,thrust,turn,x,y,theta
406,0.697282,-0.003541,355.963,233.664,0.245757
407,0.700071,0.003999,356.640,233.833,0.245332
408,0.699853,0.055380,357.319,234.004,0.245812
409,0.700155,0.099004,357.996,234.178,0.252458
410,0.699562,0.097690,358.672,234.361,0.264338
411,0.698160,-0.034997,359.345,234.552,0.276061
412,0.691713,-0.049222,360.018,234.740,0.271861
413,0.684911,-0.003443,360.685,234.921,0.265955
414,0.688577,0.035043,361.346,235.101,0.265541
415,0.686479,0.073618,362.010,235.285,0.269747
416,0.685354,0.039770,362.670,235.473,0.278581
417,0.693691,0.040720,363.328,235.665,0.283353
418,0.698755,0.086258,363.993,235.862,0.288240
419,0.696651,0.036680,364.661,236.068,0.298590
420,0.692717,0.044819,365.326,236.276,0.302992
421,0.693195,-0.033883,365.986,236.486,0.308370
422,0.694468,-0.010079,366.647,236.694,0.304304
423,0.692591,-0.014822,367.310,236.901,0.303095
424,0.693963,-0.085830,367.971,237.106,0.301316
425,0.694951,-0.115956,368.636,237.305,0.291017
426,0.691048,-0.076193,369.305,237.496,0.277102
427,0.691541,-0.068283,369.971,237.679,0.267959
428,0.695576,0.011957,370.639,237.856,0.259765
429,0.692642,0.013460,371.311,238.036,0.261200
430,0.692269,0.003450,371.980,238.216,0.262815
431,0.689762,0.072615,372.649,238.396,0.263229
432,0.688898,0.065602,373.313,238.581,0.271943
433,0.693995,0.048027,373.975,238.771,0.279815
434,0.693965,0.081024,374.641,238.967,0.285578
435,0.692435,0.071566,375.305,239.169,0.295301
436,0.695532,0.034498,375.966,239.376,0.303889
437,0.701695,-0.006819,376.628,239.587,0.308029
438,0.707209,0.025310,377.297,239.799,0.307210
439,0.708196,0.021051,377.971,240.015,0.310247
440,0.711845,0.052394,378.645,240.233,0.312774
441,0.713069,0.044125,379.320,240.456,0.319061
442,0.712098,0.040097,379.996,240.683,0.324356
443,0.710331,0.031944,380.670,240.914,0.329168
444,0.705394,-0.008693,381.342,241.146,0.333001
445,0.708270,-0.060203,382.008,241.376,0.331958
446,0.708182,-0.104250,382.680,241.602,0.324733
447,0.702149,-0.026743,383.354,241.819,0.312223
448,0.699246,-0.017157,384.022,242.033,0.309014
449,0.698433,-0.031274,384.689,242.244,0.306955
450,0.692206,-0.037481,385.356,242.453,0.303203
451,0.691613,0.009367,386.017,242.656,0.298705
452,0.693836,0.016429,386.678,242.861,0.299829
453,0.693022,-0.025390,387.340,243.067,0.301800
454,0.695380,-0.030351,388.003,243.271,0.298754
455,0.690855,-0.036846,388.668,243.473,0.295112
456,0.694753,0.043582,389.330,243.671,0.290690
457,0.691767,0.048364,389.994,243.874,0.295920
458,0.695310,0.052386,390.000,244.079,2.767678
459,0.693399,0.092526,389.351,244.329,2.773964
460,0.695218,0.134664,388.701,244.571,2.785067
461,0.696185,0.161074,388.046,244.803,2.801227
462,0.698411,0.115523,387.385,245.023,2.820556
463,0.702407,0.059970,386.720,245.234,2.834419
464,0.702185,0.122283,386.049,245.442,2.841615
465,0.699076,0.119336,385.375,245.639,2.856289
